Species,Year,Animals,Groups,Transect Length,Animals per 100km,,,,,,,,,,,,
"Jackal, Black-backed",2023,9,9,974,0.9,,,,,,,,,,,,
"Jackal, Black-backed",2024,11,10,1060,1,,,,,,,,,,,,
Kori Bustard,2003,,,,,,,,,,,,,,,,
Kori Bustard,2004,,,,,,,,,,,,,,,,
Kori Bustard,2005,,,,,,,,,,,,,,,,
Kori Bustard,2006,,,,,,,,,,,,,,,,
Kori Bustard,2007,,,,,,,,,,,,,,,,
Kori Bustard,2008,,,,,,,,,,,,,,,,
Kori Bustard,2009,,,204,,,,,,,,,,,,,
Kori Bustard,2010,,,852,,,,,,,,,,,,,
Kori Bustard,2011,,,1019,,,,,,,,,,,,,
Kori Bustard,2012,,,1070,,,,,,,,,,,,,
Kori Bustard,2013,,,900,,,,,,,,,,,,,
Kori Bustard,2014,,,896,,,,,,,,,,,,,
Kori Bustard,2015,,,896,,,,,,,,,,,,,
Kori Bustard,2016,,,917,,,,,,,,,,,,,
Kori Bustard,2017,,,858,,,,,,,,,,,,,
Kori Bustard,2018,,,851,,,,,,,,,,,,,
Kori Bustard,2019,,,864,,,,,,,,,,,,,
Kori Bustard,2020,,,858,,,,,,,,,,,,,
Kori Bustard,2021,,,928,,,,,,,,,,,,,
Kori Bustard,2022,,,911,,,,,,,,,,,,,
Kori Bustard,2023,,,974,,,,,,,,,,,,,
Kori Bustard,2024,3,3,1060,0.3,,,,,,,,,,,,
Kudu,2003,,,,,,,,,,,,,,,,
Kudu,2004,,,,,,,,,,,,,,,,
Kudu,2005,8,3,,,,,,,,,,,,,,
Kudu,2006,12,3,,,,,,,,,,,,,,
Kudu,2007,22,6,,,,,,,,,,,,,,
Kudu,2008,,,,,,,,,,,,,,,,
Kudu,2009,11,5,204,5.4,,,,,,,,,,,,
Kudu,2010,5,2,852,0.6,,,,,,,,,,,,
Kudu,2011,20,3,1019,2,,,,,,,,,,,,
Kudu,2012,31,6,1070,2.9,,,,,,,,,,,,
Kudu,2013,30,14,900,3.3,,,,,,,,,,,,
Kudu,2014,8,4,896,0.9,,,,,,,,,,,,
Kudu,2015,29,8,896,3.2,,,,,,,,,,,,
Kudu,2016,19,8,917,2.1,,,,,,,,,,,,
Kudu,2017,18,3,858,2.1,,,,,,,,,,,,
Kudu,2018,14,5,851,1.6,,,,,,,,,,,,
Kudu,2019,8,2,864,0.9,,,,,,,,,,,,
Kudu,2020,15,7,858,1.7,,,,,,,,,,,,
Kudu,2021,1,1,928,0.1,,,,,,,,,,,,
Kudu,2022,13,5,911,1.4,,,,,,,,,,,,
Kudu,2023,12,3,974,1.2,,,,,,,,,,,,
Kudu,2024,3,2,1060,0.3,,,,,,,,,,,,
Leopard,2003,,,,,,,,,,,,,,,,
Leopard,2004,,,,,,,,,,,,,,,,
Leopard,2005,,,,,,,,,,,,,,,,
Leopard,2006,,,,,,,,,,,,,,,,
Leopard,2007,,,,,,,,,,,,,,,,
Leopard,2008,,,,,,,,,,,,,,,,
Leopard,2009,,,204,,,,,,,,,,,,,
Leopard,2010,,,852,,,,,,,,,,,,,
Leopard,2011,,,1019,,,,,,,,,,,,,
Leopard,2012,,,1070,,,,,,,,,,,,,
Leopard,2013,,,900,,,,,,,,,,,,,
Leopard,2014,,,896,,,,,,,,,,,,,
Leopard,2015,,,896,,,,,,,,,,,,,
Leopard,2016,,,917,,,,,,,,,,,,,
Leopard,2017,,,858,,,,,,,,,,,,,
Leopard,2018,,,851,,,,,,,,,,,,,
Leopard,2019,,,864,,,,,,,,,,,,,
Leopard,2020,,,858,,,,,,,,,,,,,
Leopard,2021,,,928,,,,,,,,,,,,,
Leopard,2022,,,911,,,,,,,,,,,,,
Leopard,2023,1,1,974,0.1,,,,,,,,,,,,
Leopard,2024,,,1060,,,,,,,,,,,,,
Lion,2003,,,,,,,,,,,,,,,,
Lion,2004,,,,,,,,,,,,,,,,
Lion,2005,,,,,,,,,,,,,,,,
Lion,2006,,,,,,,,,,,,,,,,
Lion,2007,,,,,,,,,,,,,,,,
Lion,2008,,,,,,,,,,,,,,,,
Lion,2009,,,204,,,,,,,,,,,,,
Lion,2010,,,852,,,,,,,,,,,,,
Lion,2011,,,1019,,,,,,,,,,,,,
Lion,2012,,,1070,,,,,,,,,,,,,
Lion,2013,,,900,,,,,,,,,,,,,
Lion,2014,,,896,,,,,,,,,,,,,
Lion,2015,,,896,,,,,,,,,,,,,
Lion,2016,,,917,,,,,,,,,,,,,
Lion,2017,,,858,,,,,,,,,,,,,
Lion,2018,,,851,,,,,,,,,,,,,
Lion,2019,,,864,,,,,,,,,,,,,
Lion,2020,,,858,,,,,,,,,,,,,
Lion,2021,1,1,928,0.1,,,,,,,,,,,,
Lion,2022,,,911,,,,,,,,,,,,,
Lion,2023,,,974,,,,,,,,,,,,,
Lion,2024,,,1060,,,,,,,,,,,,,
Ostrich,2003,,,,,,,,,,,,,,,,
Ostrich,2004,,,,,,,,,,,,,,,,
Ostrich,2005,,,,,,,,,,,,,,,,
Ostrich,2006,2,2,,,,,,,,,,,,,,
Ostrich,2007,,,,,,,,,,,,,,,,
Ostrich,2008,,,,,,,,,,,,,,,,
Ostrich,2009,2,1,204,1,,,,,,,,,,,,
Ostrich,2010,94,34,852,11,,,,,,,,,,,,
Ostrich,2011,69,35,1019,6.8,,,,,,,,,,,,
Ostrich,2012,41,24,1070,3.8,,,,,,,,,,,,
Ostrich,2013,68,26,900,7.6,,,,,,,,,,,,
Ostrich,2014,48,17,896,5.4,,,,,,,,,,,,
Ostrich,2015,50,29,896,5.6,,,,,,,,,,,,
Ostrich,2016,22,11,917,2.4,,,,,,,,,,,,
Ostrich,2017,24,15,858,2.8,,,,,,,,,,,,
Ostrich,2018,49,9,851,5.8,,,,,,,,,,,,
